molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
43_a18|0|0|384.65|0|0.5429|7.03438793|-0.18145|4.844187086|1|0|0.712848727|0|0.3439906129999999|0.147655113|59.84418608|0.481954273|3172.923606|-18.77059344|2045.512486|0.0|1.0|4.5|9.0|-5.78|508.65|8.79|-1611.621186|6.2041
12i _a30|0|0|246.2|0|0.1577|7.412764017000001|-0.2041|5.351858133|2|1|0.7463962120000001|0|0.356921662|0.156570866|60.32320054|0.479900127|2860.704198|-15.95200773|1484.657003|1.0|0.0|4.47|5.0|-5.75|432.93|4.45|-2035.373964|7.8013
7s_a46|0|0|234.06|1|0.1186|7.727094485|-0.19947|5.533389489|1|1|0.768056188|0|0.249893305|0.141211538|53.07188519|0.433822088|1982.695462|-7.988379237|814.1975221|0.0|1.0|3.65|2.0|-5.81|305.37|3.54|-974.8067569|5.7022
3e_a32|1|1|348.38|0|0.2914|7.773594467000001|-0.20098|5.733341277|0|3|0.77923808|1|0.290874543|0.131830389|46.25723848|0.4513338939999999|2212.661182|-8.941186293|834.6388134|1.0|1.0|6.8|3.0|-5.2|340.47|3.52|-1672.748189|8.0862
12as_a36|1|0|274.29|0|0.2402|7.412764017000001|-0.21419|5.351858133|2|1|0.770400825|0|0.291030086|0.22956209|68.71652969|0.454761514|2904.092809|-17.17446921|1824.98997|1.0|0.0|3.16|6.0|-7.21|423.47|4.84|-1385.601917|7.2291
SB431542_a8|1|0||1||7.535296702||5.4161004020000005|1|1|0.7318727540000001|0|0.274152231|0.434670151|97.60813043|0.476091179|2801.428659|-17.46740332|1764.391093|0.0|0.0|3.13|4.0|-7.04|400.39|||4.1019
14a_a22|0|0|244.77|1|0.0578|6.842683282|-0.21174|4.727387819|2|1|0.655865336|1|0.490491034|0.135922381|56.88212098|0.446584227|2885.858295|-14.54840956|1584.38271|1.0|1.0|3.87|6.0|-6.61|420.47|4.98|-1368.35698|7.4202
12_a1|1|0|332.04|0|0.2821|7.423568444|-0.19916|5.351858133|1|1|0.7534284040000001|0|0.210514881|0.234878615|75.59644237|0.46449367|2592.245875|-13.44063462|1342.083063|1.0|1.0|4.87|3.0|-6.02|366.37|3.67|-1216.12881|5.5302
8b_a32|1|1|349.82|0|0.2943|7.765993078999999|-0.20121|5.733341277|0|3|0.7507116140000001|1|0.253018806|0.211781902|63.85535908|0.458155153|2573.703546|-12.13650094|1329.016762|1.0|1.0|6.49|7.0|-6.44|397.52|4.22|-1880.77142|7.9208
12ak_a36|1|0|320.09|0|0.0001|7.412764017000001|-0.20204|5.351858133|2|1|0.860667615|0|0.537460657|0.151294857|64.24490364|0.423822657|2830.816014|-16.97756755|1883.984673|1.0|1.0|3.85|6.0|-6.19|423.51|4.21|-1350.900117|7.3372
12a_a30|0|0|245.76|0|0.1511|7.412764017000001|-0.19994|5.351858133|2|1|0.7961424690000001|0|0.337975309|0.163785284|57.83766054|0.469799116|2722.217443|-14.47983299|1421.195251|1.0|0.0|3.84|5.0|-5.98|398.48|3.82|-1575.7783980000002|7.9469
