molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
3q_a32|7.765993078999999|0|-0.19969|-0.017280695|-1919.883144|5.733341277|-0.04718311|0|1|7.058489861|0.46136998|524.6043311000001|225.3038157|-166.61896299999998|3.34|6.43|1.0|0.0|0.000508|0.00992|3.6236|5.15|-1920.066488|-1920.042674|7.5528
11f_a5|6.605297921|1|-0.20772|-0.251797205|-1391.50739|4.59511985|0.022233547|2|0|10.72733576|0.463183664|589.7388387999999|340.3683339|-15.23851001|2.87|4.61|1.0|0.0|0.0477|0.0234|4.4523|2.25|-1391.7602960000002|-1391.722248|7.9208
19b_a38|7.412764017000001|2|-0.20445|-0.122009545|-1431.2418630000002|5.351858133|-0.115864198|1|0|8.643817972|0.478948837|452.6479704|149.181772|-322.28833010000005|2.37|3.55|1.0|0.0|0.0238|0.0196|5363.0|3.66|-1431.414099|-1431.38073|7.9172
15d_a10|7.535296702|2|-0.20918|-0.233802395|-1430.795367|5.4161004020000005|0.0370874879999999|2|1|10.36301002|0.473858537|590.402322|355.8865234|37.87296065|4.01|4.14|1.0|0.0|0.0739|0.0182|5.6004|2.05|-1430.8144619999998|-1431.051425|7.1612
9o_a24|6.605297921|1|-0.22353|-0.064667223|-1387.945865|4.59511985|-0.044044637|2|0|6.1994599720000005|0.4861134689999999|445.9858336|192.1999837|-194.5965258|2.84|3.75|1.0|0.0|0.0137|0.0167|5.8802|4.41|-1388.147972|-1388.094657|6.3507
12g_a31|7.765993078999999|1|-0.19241|0.0716209459999999|-1578.66792|5.733341277|-0.1044685569999999|0|0|11.67699967|0.470244801|357.8560168|191.2078009|-231.70711040000003|2.51|5.19|1.0|0.0|0.00457|0.0627|3.8349|4.17|-1578.846191|-1578.800869|6.9586
19j_a38|7.412764017000001|2|-0.21629|-0.089207643|-1424.24494|5.351858133|-0.04575843|1|0|11.74054073|0.408533267|552.5012068|195.5099392|-293.4664598|2.34|3.17|1.0|0.0|19.0|0.0322|6.0361|3.23|-1424.426858|-1424.390074|8.1146
11e_a5|7.139660336|1|-0.20559|-0.2114441819999999|-1316.301553|5.209486153|0.038643235|2|0|5.290414418|0.483563144|580.8135016|184.4042616|-293.6467698|3.43|5.03|1.0|0.0|0.00919|0.00782|4.4179|2.91|-1316.547103|-1316.512503|7.3979
28_a34|7.423568444|1|-0.21698|0.000561166|-1100.704833|5.351858133|-0.206909349|1|0|9.876233397|0.454339954|279.4884473|138.2913845|-235.3612529|2.55|1.99|2.0|0.0|172.0|182.0|4.2857|4.11|-1100.797628|-1100.760824|5.4179
12e_a31|7.765993078999999|1|-0.19379|0.052663358|-1809.650069|5.733341277|-0.044316064|0|0|14.09603901|0.474858042|524.7092721|199.8981394|-327.4245209|3.72|6.69|1.0|0.0|9.96e-05|0.00176|5.3264|6.33|-1809.899887|-1809.85374|6.7696
14l_a23|7.423568444|0|-0.2183|0.060717916|-1669.04569|5.351858133|-0.026530366|2|1|8.125310915|0.492922575|607.777253|138.7874759|-382.1434717|3.52|3.88|1.0|0.0|0.000608|0.0023899999999999|3.6274|3.79|-1669.2363289999998|-1669.224647|8.1798
12ay_a36|7.412764017000001|2|-0.2031599999999999|-0.05976542|-1311.343228|5.351858133|-0.043778345|1|0|7.569978132|0.4530143439999999|537.618563|143.79285900000002|-360.6110621|0.0|3.76|1.0|0.0|0.0117|0.0102|3.9348|3.79|-1311.576473|-1311.547668|7.7447
12b_a30|7.412764017000001|2|-0.20289|0.047132642|-1674.838225|5.351858133|-0.06631353|1|0|6.99318589|0.4676268939999999|485.6272203|127.9443353|-379.1359902|0.0|4.25|1.0|0.0|0.00171|0.00405|5.0567|4.07|-1675.0107779999998|-1674.977262|8.1543
21_a4|7.535296702|1|-0.19588|-0.164057585|-973.449892|5.4161004020000005|-0.014982235|1|0|5.190159022|0.401240904|472.812128|140.4174905|-226.3943104|2.92|3.7|2.0|0.0|0.0403|0.0197|5.1623|3.31|-973.5683008|-973.5481197|6.9172
